;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
596;10104372;Holzmatt;Holzmatt;;Holzmatt;Holzmatt;;Holzmatt;;;;;;;;holz;;;;;;;;;Natur;;;;;;;;;Holzmatt;Name einer ehemaligen Wiese beim Hürstholz.;Holzmatt;Siedlung;Siedlung
684;10190514;Nord;Nord;;Nord;nord;LOC;Rue du Nord;;;;;;;;;;;;;;;;;Andere;Q659;Q23718;9999;http://commons.wikimedia.org/wiki/Special:FilePath/CompassRose16%20white.PNG;;Natur;Rue du Nord;Nord;;;;;Natur
686;10021882;Schulhaus;Schulhaus;;Schulhaus;Schulhaus;;Schulhausstrasse;;;;;;haus;;;;;;;;;;;Siedlung;;;;;;;;;Schulhausstrasse;Strasse in der Enge, die am 1872 bis 1874 erbauten Schulhaus auf dem Gabler, Schulhausstrasse 21, vorbeiführt, einem imposantem Bau an dominierender Hanglage.;Schulhausstrasse;Siedlung;Siedlung
804;10180264;Schlössli;Schlössli;;Schlössli;Schlössli;;Schlösslistrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Schlösslistrasse;Haus zum Schlössli, Schlösslistrasse 28, 1910 errichtet an Stelle des Schlösslis am Susenberg, das 1513 von Saffran-Zunftmeister und Apotheker Anton Klauser zu einem stattlichen Landhaus mit Garten ausgebaut wurde.;Schlösslistrasse;Siedlung;Siedlung
816;10020657;Frenes;Frenes;;Frenes;Frenes;;Chemin des Frênes;Frene;;;;;;;;;;;;;;;;Lebewesen;Q128887;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg;;Lebewesen;Chemin des Frênes;Frenes;;;;;Lebewesen
829;10019305;Tannen;Tannen;;Tannen;Tannen;;Tannenweg;;Tanne;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Tannenweg;Baumname.;Tannenweg;Lebewesen;Lebewesen
838;10023297;Saules;Saules;;Saules;Saules;;Chemin des Saules;Saule;Saules;;;;;;;;;;;;;;;Lebewesen;Q36050;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg;;Lebewesen;Chemin des Saules;Saules;;;;;Lebewesen
845;10021980;Meisen;Meisen;;Meisen;Meisen;;Meisenweg;Meise;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Meisenweg;Tiername, Vogelart.;Meisenweg;Lebewesen;Lebewesen
978;10019329;Oberdorf;Oberdorf;LOC;Oberdorf;Oberdorf;;Oberdorfstrasse;;Oberdorf;;;;dorf;;;;;;;;;;;Siedlung;;;;;;;;;Oberdorfstrasse;Alte Hauptstrasse aus dem Stadtzentrum durch das Oberdorf nach der rechten Seeseite. Diese Ansiedlung lag im Frühmittelalter ausserhalb der Stadt und gehörte zum Stadelhof. Um 1100 wurde die Siedlung zusammen mit dem Niederdorf (villa inferior) als Oberdorf (villa superior) Bestandteil der Stadt. Diese griff damals dem rechten Limmatufer entlang und gegen den Zürichberg hin aus und überdeckte dortige alte vorstädtische Siedlungen. Das Oberdorftor wird im Jahr 1266 erwähnt. Die Namensform Oberdorfstrasse scheint erst im 19. Jahrhundert gebräuchlich geworden zu sein, zuvor genügte die Bezeichnung Hauptstrasse.;Oberdorfstrasse;Siedlung;Siedlung
1045;10021026;Rain;Rain;;Rain;Rain;;Rainstrasse;;;;;;;;rain;;;;;;;;;Natur;;;;;;;;;Rainstrasse;Alter Name einer Häusergruppe Auf dem Rain, oberhalb des einstigen Dorfkerns von Wollishofen. Als Flurname bezeichnet Rain einen Abhang oder oft auch eine Grenze zwischen Äckern oder Fluren.;Rainstrasse;Natur;Natur
1066;10021878;Lindenhof;Lindenhof;LOC;Lindenhof;Lindenhof;;Lindenhof;Linde;Linden;;;;hof$;;;;;;;;;;;Siedlung;;;;;;;;;Lindenhof;Der erhöhte Platz über der Limmat, noch lange schlicht nur der Hof genannt, wurde bereits im 16. Jahrhundert mit Linden bepflanzt. Hier fanden sich die ersten Siedlungsreste aus keltischer und römischer Zeit und es sind Spuren eines spätrömischen Kastells und einer mittelalterlichen Pfalz zu besichtigen.;Lindenhof;Lebewesen;Lebewesen
1130;10104412;Sonnegg;Sonnegg;;Sonnegg;Sonnegg;;Sonneggstrasse;;;;;;;;egg$;;;;;;;;;Natur;;;;;;;;;Sonneggstrasse;Benannt nach der Liegenschaft zum Sonneneck (1864-1940), Sonneggstrasse 41, in der Ortsgegend Weinberg in Oberstrass. Zunächst hiess die Strasse nach dem benachbarten grossen Landgut zur Tanne, das bereits der Tannenstrasse den Namen gegeben hatte, neue Tannenstrasse. Die Umbenennung erfolgte, um Verwechslungen auszuschliessen.;Sonneggstrasse;Andere;Andere
1153;10128590;Zeughaus;Zeughaus;;Zeughaus;zeughau;;Zeughausstrasse;;;;;;haus;;;;;;;;;;;Siedlung;;;;;;;;;Zeughausstrasse;Teil der alten Hohlstrasse oder Hohlgasse, der wegen der 1866 erbauten Zeughäuser auf dem Kasernenareal in Zeughausstrasse umbenannt wurde.;Zeughausstrasse;Siedlung;Siedlung
1196;10137499;Sport;Sport;;Sport;Sport;;Sportweg;;;;;;sport;;;;;;;;;;;Siedlung;;;;;;;;;Sportweg;Strasse beim 2008 abgebrochenen Stadion Hardturm des Grasshopper Club Zürich.;Sportweg;Siedlung;Siedlung
1210;10185982;Waldmeister;Waldmeister;;Waldmeister;waldmeister;;Waldmeisterweg;Waldmeister;Wald;;;;;;wald;;;;;;;;;Natur;;;;;;;;;Waldmeisterweg;Kräutername.;Waldmeisterweg;Lebewesen;Lebewesen
1225;10252724;Moos;Moos;;Moos;Moos;PER;Moosstrasse;;;;;;;;moos;http://www.wikidata.org/entity/Q3323615;Moos;masculin;1974-08-29T00:00:00Z;;http://www.wikidata.org/entity/Q7880;;;Natur;;;;;;;;;Moosstrasse;Früher verlief dort ein grosses «Moos» in einer Senke entlang der Albisstrasse.;Moosstrasse;Natur;Natur
1274;10012283;Burg;Burg;;Burg;Burg;;Burgstrasse;;Burg;;;;burg;;;;;;;;;;;Siedlung;;;;;;;;;Burgstrasse;"An einen Flurnamen wie «zur Burg» erinnernd, der für Wipkingen bereits 1399 bezeugt ist; vielleicht ein Hinweis auf eine abgegangene Burg oder sonstige alte Gemäuer.";Burgstrasse;Andere;Andere
1375;10186817;Birken;Birke;;Birken;Birken;;Birkenweg;Birke;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Birkenweg;Baum- und Strauchname: häufig vorkommender Laubbaum.;Birkenweg;Lebewesen;Lebewesen
1380;10020680;Lausanne;Lausanne;;Lausanne;Lausanne;;Route de Lausanne;;Lausanne;;;;;;;;;;;;;;;Ortschaft;Q807;Q5119;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Lausanne%20img%200585.jpg;;Ortschaft;Route de Lausanne;Lausanne;;;;;Ortschaft
1411;10090553;Schürli;Schürli;;Schürli;Schürli;;Schürliweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Schürliweg;Benannt nach einer kleinen Scheune, mundartlich «Schürli», die am Waldrand oberhalb des Hungerbergs stand.;Schürliweg;Siedlung;Siedlung
1571;10071606;Erlach;Erlach;;Erlach;Erlach;;Erlachstrasse;;Erlach;;;;;;;;;;;;;;;Ortschaft;Q123886;Q5;1299-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Erlach-Denkmal.JPG;male;Person;Erlachstrasse;Erlach;;;;;Person
1582;10020729;Schuler;Schuler;;Schuler;Schuler;;Schulerweg;;;;;;schul;;;;;;;;;;;Siedlung;;;;;;;;;Schulerweg;Weg von der Witikonerstrasse Richtung Möcklistrasse 7, wo sich von 1793 bis 1876 die erste Schule Witikons befand, heute Privathaus.;Schulerweg;Siedlung;Siedlung
1699;10093176;Payerne;Payerne;;Payerne;Payerne;;Route de Payerne;;Payerne;;;;;;;;;;;;;;;Ortschaft;Q69525;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Picswiss%20VD-49-06.jpg;;Ortschaft;Route de Payerne;Payerne;;;;;Ortschaft
1719;10252232;Fabrik;Fabrik;;Fabrik;Fabrik;ORG;Fabrikstrasse;;;;;;fabrik;;;;;;;;;;;Siedlung;;;;;;;;;Fabrikstrasse;Strasse bei der ehemaligen Gasfabrik im Industriequartier von Aussersihl. Die Gasbeleuchtung in Zürich nahm 1856 ihren Anfang mit einer Produktionsanlage auf dem Platzspitz. 1866/67 wurde diese auf ein Grundstück an der Limmat verlegt, das durch die Limmatstrasse, die Gasometestrasse, den Sihlquai und die Fabrikstrasse begrenzt war. Bis 1898 wurde das Gas für die Stadt Zürich in dieser Fabrik produziert.;Fabrikstrasse;Siedlung;Siedlung
1823;10021783;Rosiers;Rosier;;Rosiers;Rosiers;;Chemin des Rosiers;Rosier;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Chemin des Rosiers;Rosiers;;;;;Lebewesen
1864;10121367;Moleson;Moleson;;Moleson;Moleson;;Chemin du Moléson;;Moleson;;;Moleson;;;;;;;;;;;;Berg;Q16586;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/06moleson.jpg;;Berg;Chemin du Moléson;Moleson;;;;;Berg
1887;10021884;Sonnhalden;Sonnhald;;Sonnhalden;sonnhalden;;Sonnhaldenstrasse;;;;;;;;halden;;;;;;;;;Natur;;;;;;;;;Sonnhaldenstrasse;In Anlehnung an den oberhalb gelegenen Sonnenberg frei gewählter Name.;Sonnhaldenstrasse;Berg;Berg
2020;10023129;Fougeres;Fougeres;;Fougeres;Fougeres;;Chemin des Fougères;Fougere;;;;;;;;;;;;;;;;Lebewesen;Q80005;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Polystichum%20setiferum0.jpg;;Lebewesen;Chemin des Fougères;Fougeres;;;;;Lebewesen
2033;10019338;;;;;;;;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Austrasse;«Au» ist eine Bezeichnung für Wiesland an einem Gewässer. Im alten Wiedikon hiess das Gelände südlich des Dorfes an der Sihl «In der Au», um 1840 gab es dort drei Höfe und Häuser.;Austrasse;Natur;Natur
2038;10064360;Vignes;Vignes;;Vignes;Vignes;;Chemin des Vignes;Vignes;;;;;;;;;;;;;;;;Lebewesen;Q3248828;Q55983715;9999;kein;;Lebewesen;Chemin des Vignes;Vignes;;;;;Lebewesen
2312;10021959;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
2314;10186814;Buchen;Buche;;Buchen;Buchen;;Buchenweg;Buche;Buch;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Buchenweg;Baumname: beliebter Laubbaum, der auch für Hecken genutzt wird.;Buchenweg;Lebewesen;Lebewesen
2337;10147762;Chataigniers;Chataignier;;Chataigniers;Chataigniers;;Chemin des Châtaigniers;;;;;;;;;;;;;;;;;Andere;Q129324;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2taignier%20120807%201.jpg;;Lebewesen;Chemin des Châtaigniers;Chataigniers;;;;;Lebewesen
