id;str_nr;str_name;str_st_bezeichnung;str_von;str_bis;str_kreis;str_planquadrat;str_vb;str_up_kanton;snb_str_nr_ref;snb_erlaeuterung;snb_tafeltext_1;snb_tafeltext_2;objectid
358;11;Adolf-Lüchinger-Strasse;gültig;Frauentalweg 39;Bachtobelstrasse 189;3;K 15/16;WD;2506;11;Dr. Adolf Lüchinger (1894-1949): Stadtpräsident von Zürich (1944-1949). Adolf Lüchinger war Jurist und arbeitete zuerst als Adjunkt bei der Pro Juventute (1924-1928), dann als Bezirks- (1928-1935) und Oberrichter (1935-1944), ab 1941 auch als Präsident des Schwurgerichts. Er vertrat die Sozialdemokratische Partei im Gemeinderat (1927-1942) und wurde 1944 Stadtpräsident von Zürich, wo er 1949 im Amt verstarb. Lüchinger war Präsident des Schweizerischen Arbeiterhilfswerks (1936-1940), Präsident der zweiten kriegswirtschaftlichen Kommission (1939-1944), erster sozialdemokratischer Vertreter im Schweizerischen Schulrat (1945-1949) und Mitglied des Internationalen Komitees vom Roten Kreuz IKRK (1946-1949).;"Adolf Lüchinger (1894-1949)
Stadtpräsident 1944 bis 1949";;6315
1704;12;Aegertenstrasse;gültig;Manessestrasse 40;Birmensdorferstrasse 123;3;M 14;WD;2407;12;Flurname «Aegerten» als Bezeichnung für eine ungepflügte Flur, die sich - wie das steinige und oft überschwemmte Gebiet zwischen dem alten Dorf Wiedikon und der Sihl - wenig für den Ackerbau eignete.;;;7663
2116;13;Aegertenweg;gültig;Schwendenholzweg;Hohensteinstrasse;3+9;H 15/16;AR/WD;2505+2506;13;Flurname «Aegerten» als Bezeichnung für eine ungepflügte Flur, die sich - wie das steinige und oft überschwemmte Gebiet zwischen dem alten Dorf Wiedikon und der Sihl - wenig für den Ackerbau eignete.;;;8080
504;14;Aehrenweg;gültig;Holunderweg;Goldregenweg 31;11;N 8;OE;2107;14;Blumenname.;;;6459
562;15;Aemmerliweg;gültig;Opfikonstrasse 20;nordöstl. Sackgasse;12;Q 7/8;SW;2108+2109;15;Ämmerli oder Ämli, mundartlich für Sauerkirsche, Weichsel. Hinweis auf die Baumbepflanzung des Weges.;;;6512
503;16;Aemtlerstrasse;gültig;Birmensdorferstrasse 198;Albisriederstrasse 30;3;K 13-L 14;WD;2406+2407;16;Strasse in Wiedikon, die zu dem und entlang dem ab 1877 angelegten Friedhof Sihlfeld führt und deshalb Friedhofgasse hiess. Weil es auch in der Stadt Zürich bereits eine Strasse dieses Namens gab, erfolgte 1892 vor der Eingemeindung von Wiedikon die Umbenennung. Das Aemtler im Namen ist ein Hinweis auf das nahe Amt bzw. Knonaueramt oder Säuliamt, wie der Bezirk Affoltern im Volksmund heute noch heisst.;;;6458
398;17;Affolternstrasse;gültig;Schaffhauserstrasse;Kügeliloostrasse 26;11;M-O 8;OE;2107+2108;17;Strasse nach der Gemeinde Affoltern bei Zürich, dem heutigen Quartier Zürich-Affoltern. Der Name leitet sich vom althochdeutschen Wort «Affaltrun» ab, was bei den Apfelbäumen bedeutet.;;;6353
2468;18;Agleistrasse;gültig;Obsthaldenstrasse 84;Primelstrasse 3;11;L 8;AF;2107;18;Blumename, Mundartform für Akelei.;;;8427
267;19;Agnes-Robmann-Weg;gültig;Binzstrasse 2;Friesenbergstrasse 145;3;K 14-L 15;WD;2406+2506+2507;19;Agnes Robmann (1876-1951): Lehrerin in Zürich und sozialdemokratische Politikerin. Agnes Robmann war Präsidentin des Zürcher Arbeiterinnenvereins, Mitglied des Freuenstimmrechtsvereins und des Parteivorstandes der Sozialdemokratischen Partei der Schweiz, in welcher Funktion sie auch den den Konferenzen von Zimmerwald 1915 und Kiental 1916 teilnahm. Sie verfasste zahlreiche Broschüren über Frauenfragen und Sozialismus.;"Agnes Robmann (1876-1951)
Kämpferin für Frauenrechte
Präsidentin des Zürcher Arbeiterinnenvereins";;6233
2455;20;Agnesstrasse;gültig;Martastrasse 99;Hardstrasse 35;4;L 12/13;AU;2306+2406+2407;20;Weiblicher Vorname.;;;8417
223;21;Ahornstrasse;gültig;Tulpenstrasse 36;Bocklerstrasse;12;Q 9;SW;2108+2208;21;Baumname.;;;6180
1242;22;Akazienstrasse;gültig;Kreuzstrasse 46;Reinhardstrasse 19;8;O 14/15;RI;2508;22;Strasse in Riesbach, die bis 1881 Schwanengasse hiess. Die Umbenennung erfolgte, um nach der Eingemeindung von Riesbach eine Verwechslung mit der gleichnamigen Gasse in der Stadt Zürich zu vermeiden. Um 1880 wurden mehrere Strassen in Riesbach, das für seine Blumengärten bekannt war, nach Pflanzen benannt.;;;7204
2254;451;Albert-Einstein-Strasse;gültig;Emil-Klöti-Strasse;östl. Sackgasse;10;K 8/9;HG;2106;451;Albert Einstein (1879-1955): Mathematiker und Physiknobelpreisträger. Nach seinem Physikstudium an der ETH Zürich arbeitete Albert Einstein 1902-1909 als Gutachter am Eidgenössischen Patentamt in Bern und publizierte zu dieser Zeit zur Lichtquantentheorie resp. bewies die Äquivalenz von Masse und Gewicht (E=mc²). 1909-1911 war Einstein Professor an der Universität Zürich und 1912-1914 an der ETH. Dann wechselte er an die Universität in Berlin. 1921 erhielt er als Begründer der Relativitätstheorie den Physiknobelpreis. 1933 emigrierte Einstein in die USA und erwarb dort, neben seinem Bürgerrecht der Stadt Zürich, das er seit 1901 besass, 1940 die amerikanische Staatsangehörigkeit. Einstein vertrat schon im Ersten Weltkrieg pazifistische Positionen und wandte sich 1955 mit Bertrand Russell in einem Manifest gegen die Entwicklung und Verbreitung von Atomwaffen.;;;8207
852;23;Albert-Näf-Platz;gültig;Schaffhauserstrasse 354;Wallisellen- /Ohmstrasse;11;Q 8;OE;2108;23;Albert Näf (1874-1961): Letzter Gemeindepräsident von Oerlikon 1916-1933 und Baumeister.;"Albert Näf (1874-1961)
Letzter Gemeindepräsident von Oerlikon 1916 bis 1933";;6807
2277;24;Albert-Schneider-Weg;gültig;Ginsterstrasse 17;Letzigraben 152;9;J 13;AR;2406;24;Albert Schneider (1836-1904): Jurist und Politiker aus Albisrieden. Albert Schneider war Professor für Römisches Recht 1878-1904 und Rektor der Universität Zürich 1890-1892. Er verfasste den Kommentar zum privatrechtlichen Gesetzbuch des Kantons Zürich und zum schweizerischen Obligationenrecht, war Oberrichter, Handelrichter und Vorsitzender des Militärkassationshofs. Ab 1862 war er liberaler Zürcher Kantonsrat und ab 1893 Mitglied des Grossen Stadtrats in Zürich. Zudem war er ab 1873 Mitglied der Kommission des «Schweizer Idiotikons», ab 1893 Präsident, ab 1874 Mitglied der Musikkommission und 1896 Präsident der Kirchensynode. Albert Schneider war der Testamentsvollstrecker von Gottfried Keller.;;;8235
74;2457;Albert-Steiner-Garten;gültig;John-von-Neumann-Weg;Otto-Stern-Weg;10;K 8;HG;2106;2457;Albert Heinrich Steiner (1905-1996): Architekt und Stadtplaner. Steiner war Stadtbaumeister von Zürich 1943-1957 und Professor für Architektur und Städtebau an der ETH Zürich 1957-1971. Er förderte die Sanierung der Altsadt durch das von ihm geschaffene Büro für Altsadtsanierung 1945. Die von ihm entwickelte Bauordnung mit Zonenplan von 1946 prägte die Entwicklung der nach 1934 eingemeindenten Quartiere nachhaltig.;;;6035
1989;25;Albertstrasse;gültig;Röntgenstrasse 63;Ottostrasse 15;5;M 11;IQ;2307;25;Männlicher Vorname.;;;7953
2060;26;Albin-Zollinger-Platz;gültig;Allenmoosstrasse;Berninastrasse;11;N 9;OE;2107;26;Albin Zollinger (1895-1941): Schriftsteller («Pfannenstiel»), Redaktor und Primarlehrer in Oerlikon 1922-1941. Albin Zollinger war sowohl Lyriker als auch Erzähler und Essayist und eine wichtige Persönlichkeit des Zürcher Kulturlebens. Zollinger gehört zu den weitsichtigsten und integersten kritischen Schweizer Intellektuellen seiner Generation.;"Albin Zollinger (1895-1941)
Schriftsteller («Pfannenstiel»).
Von 1922 bis zu seinem Tod als Lehrer in Oerlikon tätig";;8024
655;27;Albisgütliweg;gültig;Moosgutstrasse;Gänzilooweg;3;L 15/16;WD;2506+2507;27;Das Albisgütli war ein Wirtshaus 1844-1871. Der Name Albis, an welchem das Gütlein lag, bedeutet Berg und ist verwandt mit dem Wort Alpen. Der Albisgütliweg liegt unterhalb des 1897 eingerichteten Schiessplatzes.;;;6608
1881;28;Albisriederplatz;gültig;Badener- /Hardstrasse;Albisrieder- /Hardaustrasse;3+4;K 12-L 13;AR/WD;2306;28;Früher Rieden unter dem Albis: «Riete» (10. Jahrhundert), «Riedirn» (1225), d. h. Siedlung bei den Riedern. Ried oder Riedtli ist ein häufig vorkommender Flurname, der etwa für einen feuchten Boden, für ein gerodetes Waldstück oder auch für Weideland, das bepflanzt worden ist. Der Name Albis bedeutet Berg und ist verwandt mit dem Wort Alpen.;;;7840
1604;29;Albisriederstrasse;gültig;Albisriederplatz;Birmensdorferstrasse;3+9;G-K 13;AU/AR;2306+2405+2406;29;Führt nach Albisrieden, früher Rieden unter dem Albis: «Riete» (10. Jahrhundert), «Riedirn» (1225), d. h. Siedlung bei den Riedern. Riedt oder Riedtli ist ein häufig vorkommender Flurname, der etwa für einen feuchten Boden, für ein gerodetes Waldstück oder auch für Weideland, das bepflanzt worden ist. Der Name Albis bedeutet Berg und ist verwandt mit dem Wort Alpen.;;;7562
2405;30;Albisriederweg;gültig;Albisriederstrasse;Albisriederstrasse;9;G 13;AL;2405;30;Weg an der Albsiriederstrasse oberhalb des Ortkerns des früheren Rieden unter dem Albis: «Riete» (10. Jahrhundert), «Riedirn» (1225), d. h. Siedlung bei den Riedern. Riedt oder Riedtli ist ein häufig vorkommender Flurname, der etwa für einen feuchten Boden, für ein gerodetes Waldstück oder auch für Weideland, das bepflanzt worden ist. Der Name Albis bedeutet Berg und ist verwandt mit dem Wort Alpen.;;;8361
2294;31;Albisstrasse;gültig;Seestrasse 360;Grenze Adliswil;2;M/N 17;WO;2607+2707;31;Wollishofer Teilstück der in den 1830er und 1840er Jahren ausgebauten Strasse, die über Adliswil auf den Albis und ins Knonauer Amt führt. Der Name Albis bedeutet Berg und ist verwandt mit dem Wort Alpen.;;;8254
1409;32;Albulastrasse;gültig;Mürtschenstrasse 27;Luggwegstrasse 9;9;J 11;AL;2306;32;Zufluss des Hinterrheins und Pass (Passhöhe 2315 m), der das Albulatal mit dem Engadin verbindet. Das Elektrizitätswerk der Stadt Zürich EWZ nutzt die Wasserkraft des Albulaflusses mit diversen Kraftwerken bereits seit 1902 zur Stromerzeugung für die Stadt Zürich.;;;7370
1825;33;Alderstrasse;gültig;Bellerivestrasse 59;Seefeldstrasse 152;8;O/P 15;RI;2508;33;Als Privatweg in Riesbach um 1870 erstellte Strasse, die 1887 unentgeltlich an die Gemeinde abgetreten und von dieser ausgebaut wurde. Grundeigentümer und Besitzer von ersten Wohnhäusern waren Angehörige einer Familie Alder, die in der Gegend Landwirte waren und die einem alten Riesbacher Geschlecht angehörten. Das Wohnhaus mit Werkstätte an der Seefeldstrasse 148 (1838-1932), das spätere Eckhaus zur Alderstrasse hin, gehörte dem Schlossermeister Jakob Alder.;;;7778
2412;34;Alemannensteig;gültig;Goldbrunnenstrasse 85;Haldenstrasse 128;3;L 14;WD;2406+2407;34;Alemannen (Alamannen): Germanisches Volk, das um die Mitte des 6. und im 7. Jahrhundert die Ostschweiz und damit auch das Gebiet von Zürich besiedelte. Sie gelten zusammen mit den keltischen Helvetiern und den Römern zu den Vorfahren der heutigen einheimischen Bevölkerung der Deutschschweiz.;;;8366
2444;2525;Alfred-Altherr-Terrasse;gültig;Strickhof- /Frohburgstrasse;Strickhofstrasse 82;6;O 10;OB;2208;2525;"Alfred Altherr sen. (1875-1945): Schweizer Architekt, Möbel- und Raumgestalter. Altherr war Direktor der Kunstgewerbeschule und des Kunstgewerbemuseums Zürich 1912-1938. Er initiierte die Gründung des Schweizerischen Werkbundes SWB 1913 und war auch dessen erster Direktor. In dieser Eigenschaft modernisierte und reformierte er die Sicht auf Architektur und Innengestaltung und wandte dies in seiner Schule auch an. Formqualität, vorbildlich gestaltete Gebrauchsgüter, seriell hergestellte Typenmöbel und moderne Wohnformen machten das als «Befreites Wohnen» - befreit vom alten Ballast - bekannt gewordene Ziel des SWB aus. Die Musterwohnungen der Werkbund-Siedlung Neubühl in Zürich-Wollishofen erregten bei ihrer Fertigstellung 1932 grosses Aufsehen. Ab 1914 gab der SWB zusammen mit dem Bund der Schweizer Architekten die Zeitschrift «Das Werk» heraus; diese Zeitschrift gibt es noch heute, und sie gehört zu den wichtigsten Fachpublikationen für Architektur und Städtebau im deutschsprachigen Raum. Zu den Mitgliedern des Werkbundes gehörten unter anderem auch Max Bill und Hans Erni.";"Alfred Altherr (1875-1945)
Leiter der Kunstgewerbeschule 1912 bis 1938
Gründer des Schweiz. Werkbundes 1913";;8406
1372;35;Alfred-Escher-Strasse;gültig;Bleicherweg 47;Mythenquai 88;2;N 14/15;EN;2407+2507;35;Alfred Escher (1819-1882): Politiker und Wirtschaftsführer. Im Zusammenhang mit den Quaibauten um 1885 angelegte Strasse in der Enge, die vom Bahnhof Enge her zum «Belvoir», dem Landgut von Alfred Escher, führt. Escher war einer der bedeutendsten Politiker und Wirtschaftsführer der Schweiz des 19. Jahrhunderts. Er war unter anderem Zürcher Regierungsrat 1848-1855, Nationalrat 1848-1882, Mitbegründer der Eidgenössischen Technischen Hochschule ETH 1855, der Schweizerischen Kreditanstalt 1856 (heute Credit Suisse) und der Gotthardeisenbahn (Gotthardtunnel 1882). Das Denkmal für Alfred Escher auf dem Bahnhofplatz von Zürich stammt aus dem Jahr 1889.;"Staatsmann und Wirtschaftsführer
Schöpfer der Gotthardbahn 1819 bis 1882";;7332
1027;36;Alfred-Strebel-Weg;gültig;Letzigraben 221;südöstl. Sackgasse;9;J 13/14;AR;2406;36;Alfred Strebel (1884-1943): Letzter Gemeindepräsident von Albisrieden 1926-1933 und SBB-Beamter.;"Alfred Strebel (1884-1943)
Gemeindepräsident von Albisrieden
vor der Eingemeindung, 1926 bis 1933";;6984
1805;37;Algierstrasse;gültig;Altstetterstrasse 224;Lyrenweg;9;G/H 13;AL;2305;37;Die Liegenschaft Im Algier, Algierstrasse 20, soll nach dem «Algier-Meier», der in Algier gewesen sein soll, benannt sein. Das Haus gehörte 1840-1844 Leonhard Meier (1805-1880) aus Kloten, vielleicht eben dieser «Algier-Meier».;;;7758
2262;38;Allenmoosstrasse;gültig;Hofwiesenstrasse 220;Dörflistrasse 50;6+11;N/O 9;UN/OE;2107+2108+2207;38;Der Flurname lautete ursprünglich «Salenmoos» und bezeichnete ein Moos, also feuchtes, sumpfiges Land, auf dem Sal-Weiden wuchsen. Irrtümlich wurde dieser Name dann statt als «Salenmoos» als «das Alenmos» aufgefasst, der Anlaut S also als Artikel (da)s verstanden und abgetrennt.;;;8221
1161;39;Allenwiesliweg;gültig;Oetlisbergweg;Alte Zürichstrasse;7;T/U 15;WI;2510;39;Flurname «Allenwiesli», ursprünglich vielleicht «Salenwiesli» d. h. kleine mit Sal-Weiden bestückte Wiese. Der Flurname lautete ursprünglich «Salenwiesli» und bezeichnete eine kleine Wiese auf der Salweiden wuchsen. Irrtümlich wurde dieser Name dann statt als «Salenwiesli» als «das Alenwiesli» aufgefasst, der Anlaut S also als Artikel (da)s verstanden und abgetrennt.;;;7121
1975;40;Allmannstrasse;gültig;Binzmühlestrasse 20;Grubenackerstrasse;11;O 7/8;SE;2108;40;Im Zürcher Oberland (Gemeinde Hinwil) gelegener Berg (1083 m. ü. M.).;;;7933
2369;2547;Allmend Altstetten;projektiert;Pfarrhausstrasse;Spirgartenstrasse;9;H 11/12;AL;2306+2305;2547;;;;8329
2415;2480;Allmendbrücke;gültig;Allmendweg;Allmendsteg /Gfellstrasse;2+3;L 16;WD/WO;2507;2480;Die Allmendbrücke in der Allmend Brunau wurde bis 2011 Militärbrücke genannt. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;;;8376
2389;2477;Allmendsteg;gültig;Scheibenrain /Elfenweg;Gfellstrasse;2;L 16-M 17;WO;2507+2607;2477;Steg in der Allmend Brunau. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;;;8372
1885;41;Allmendstrasse;gültig;Giesshübelstrasse 30;Maneggbrücke;2;L/M 17;EN/WO;2507+2607+2707;41;Die Strasse in die Wollishofer Allmend wurde im Zusammenhang mit dem Bau der Sihltalbahn neu angelegt. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;;;7833
635;2479;Allmendweg;gültig;Waidmattweg;Allmendbrücke;3;L 16;WD;2507;2479;Weg in der Allmend Brunau. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;;;6594
256;42;Alte Feldeggstrasse;gültig;Bellerivestrasse 17;Dufourstrasse 90;8;O 15;RI;2508;42;"Wohl ein Teilstück der Feldeggstrasse vor deren erster Korrektion im unteren Teil um 1870. Um 1800 bestand die Häusergruppe «Feldegg» (an der heutigen Ecke Mainaustrasse) aus zwei Wohnhäusern, einem Waschhaus und einer Scheune. Der Flurname «Egg» bezeichnet eine abgewinkelte Form oder eine Bodenerhebung; hier in Riesbach meinte der Name «Feldegg» vielleicht eine einst winkelförmige Wiese oder das Feld am Abhang Richtung Seefeld.";;;6212
1568;43;Alte Gockhauserstrasse;gültig;Dreiwiesenstrasse;Forsthausweg;7;R/S 13;HO;2309+2409;43;Gockhausen: Siedlung in der Gemeinde Dübendorf. Flurname «Goggenhusen» (1343), d. h. bei den Häusern eines Bauern namens Gogg.;;;7530
481;44;Alte Kalchbühlstrasse;gültig;Albisstrasse 81;südl. Sackgasse;2;M 18;WO;2607;44;Flurname «Kalchbühl», d. h. kleine Anhöhe (Bühl), wo Kalkstein (Kalch) gewonnen und gebrannt wurde.;;;6439
2132;45;Alte Mühlackerstrasse;gültig;Zehntenhausstrasse;Mühlackerstrasse;11;K 6;AF;2006;45;Flurname: Acker, der zu einer einst vom Holderbach getriebenen Mühle gehörte.;;;8101
1577;46;Alte Regensdorferstrasse;gültig;Heizenholz 41;Geissbergstrasse;10;H 7/8;HG;2005+2105;46;Regensdorf als «Reginesdorf» (Dorf des Regino) und «Reganesdorf» ist urkundlich erstmals im Jahr 870 erwähnt, abgeleitet vom altdeutschen Personennamen Ragan, Ragin, d. h. «Rat», «Ratschluss der Götter».;;;7539
1073;47;Alte Zürichstrasse;gültig;Witikonerstrasse;Grenze Fällanden;7;U/V 15;WI;2510;47;Alte Strasse von Witikon nach Zürich.;;;7036
478;48;Altenhofstrasse;gültig;Wildbachstrasse 77;Zollikerstrasse 154;8;P 16;RI;2508;48;Liegenschaft zum Alten Hof, Wildbachstrasse 77, abgetragen 1960.;;;6432
550;2305;Alter Kirchenweg;gültig;Kalchbühlstrasse;Grenze Kilchberg;2;N 19;WO;2707;2305;Alter Weg zur Kirche Kilchberg. Wollishofen war bis 1702 nach Kilchberg kirchgenössig.;;;8405
1495;49;Althoossteig;gültig;Wehntalerstrasse 286;Käferholzstrasse 261;11;M 8;AF;2107;49;Strasse beim Weiler Althoos, der ab 1415 als «Althusen», also zu den alten Häusern, erwähnt wurde, und dessen Namen später zu Althosen und Althos verballhornt wurde.;;;7452
1482;50;Althoosstrasse;gültig;Käferholzstrasse 256;Rebhüsliweg;11;L/M 8;AF;2107;50;1898 errichtete Strasse nach dem Weiler Althoos, der ab 1415 als «Althusen», also zu den alten Häusern, erwähnt wurde, und dessen Namen später zu Althosen und Althos verballhornt wurde.;;;7439
1084;51;Altstetterplatz;gültig;Hohlstrasse 560;Hohlstrasse 600;9;H/J 11;AL;2306;51;Altstetten, heute Quartier Altstetten, 1249 «Altstettin superiori» bzw. «in villa Altstetin inferiori», bezeichnet nach alten, d. h. römischen Hofstätten.;;;7043
1019;52;Altstetterstrasse;gültig;Altstetterplatz;Albisriederstrasse 371;9;H 11-13;AL/AR;2305+2306+2405;52;Altstetten, heute Quartier Altstetten, 1249 «Altstettin superiori» bzw. «in villa Altstetin inferiori», bezeichnet nach alten, d. h. römischen Hofstätten.;;;6974
191;53;Altweg;gültig;Letzigraben 231;In der Ey 60;9;J 13;AR;2406;53;Verkürzte Form des Flurnamens «im alten Weg» (1426), der am westlich des Triemlis verlaufenden mittelalterlichen Fussweg von Zürich über Wiedikon nach Birmensdorf lag.;;;6303
2055;54;Altwiesenstrasse;gültig;Roswiesenstrasse 15;Dübendorfstrasse 339;12;R 9-S 10;SW;2209;54;Flurname: altes Wiesland oder seit langer Zeit als Wiese genutztes Land.;;;8017
1745;55;Am Bach;gültig;Alte Mühlackerstrasse 44;Blumenfeldstrasse;11;K 6;AF;2006;55;Weg entlang des Holderbaches, des Dorf- und Mühlebachs in Affoltern.;;;7701
1912;56;Am Börtli;gültig;Kürbergstrasse 24;Gwandensteig;10;K 10;HG;2206;56;Flurname «am Bord» oder «am Börtli», d. h. am Abhang oder am Rand einer Fläche.;;;7870
2027;57;Am Giessen;gültig;Am Wasser /Europabrücke;Winzerhalde 9;10;J 10;HG;2206;57;Flurname «Giessen», das stille Wasser eines Flussnebenarmes, hier der Limmat.;;;7990
220;58;Am Glattbogen;gültig;Saatlenstrasse 269;Wallisellenstrasse 439;12;P/Q 8;SW;2108;58;Frei gewählter Name für ein Gelände, an dem der Fluss Glatt in einem Bogen weiterfliesst.;;;6177
1232;59;Am Guggenberg;gültig;Witikonerstrasse 270;südl. Sackgasse;7;R/S 15;WI;2509;59;"Flurname «Gugge», Geländeerhebung, von der man ausschaut; hochgelegener, aussichtsreicher Geländepunkt.";;;7195
228;60;Am Holbrig;gültig;Michelstrasse 23;Holbrigstrasse;10;J 9;HG;2106+2206;60;Flurname «Hohlberg», ein zum Berge führender Hohlweg, erstmals 1447 erwähnt. Ein Hohlweg entsteht meist im Laufe der Jahrhunderte durch die häufige Nutzung von Naturstrasse mit Fuhrwerken und Vieh sowie durch abfließendes Regenwasser in das umgebende Gelände.;;;6186
2287;61;Am Hönggerberg;gültig;Wehrlisteig;Gsteigstrasse 72;10;K 9-L 10;HG;2106+2206;61;Strasse am Rande des Hochplateaus des Hönggerbergs. Der Name Höngg geht auf «Hoinga» (820) zurück und bezeichnet die auf der Höhe wohnenden Leute.;;;8247
1155;62;Am Katzenbach;gültig;Grenze Opfikon;Köschenrütistrasse;11;N 6-O 7;SE;2007+2008;62;Strasse entlang des Katzenbachs in Seebach. Der Bach ist der Ausfluss des Katzensees und mündet in den Leutschenbach.;;;7115
