;Unnamed: 0;str_name;STR_ESID;snb_erlaeuterung;STN_LABEL;instance
23;3178;Allmendstrasse;10023169;Die Strasse in die Wollishofer Allmend wurde im Zusammenhang mit dem Bau der Sihltalbahn neu angelegt. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;Allmendstrasse;Siedlung
24;3305;Drosselstrasse;10056252;Vogelfamilienname, in Mitteleuropa stark verbreitete Sperlingsvogelart.;Drosselstrasse;Lebewesen
25;3313;Mühlackerstrasse;10215114;Flurname für die Äcker der Mühle am Holderbach.;Mühlackerstrasse;Natur
26;3325;Florastrasse;10128645;Benannt nach dem Haus zur Flora (1846-1931), Seefelstrasse 61, das an der Ecke zur Florastrasse stand. Flora war die römische Göttin der Blumen und der Jugend.;Florastrasse;Religion
27;3396;Rickenstrasse;10250966;Bedeutung unklar, vermutlich benannt nach «Rick», d. h. Gehege, oder nach dem Ricken, dem Pass zwischen der Linthebene und dem Toggenburg.;Rickenstrasse;Andere
28;3407;Rössligasse;10141477;Benannt nach dem Eckhaus hin zur Schifflände (Schifflände 30), dem Haus zum Rössli, das 1429 als Wirtshaus erwähnt wird. Gewirtet wurde im Rössli bis ins Jahr 1890.;Rössligasse;Andere
29;3433;Reservoirweg;10140885;Weg, der beim Wasserreservoir am Zürichberg vorbeiführt.;Reservoirweg;Siedlung
30;3482;Gässli;10121874;Schon 1485 erwähnte Bezeichnung für den Durchgang zwischen den dicht stehenden Handwerkerhäusern oberhalb des Meierhofplatzes.;Gässli;Andere
31;3689;Dorfbachweg;10088683;Weg am Mittelteil des Dorfbachs von Höngg, der vom Moos durchs Dorf und dann über die Mühlehalde bei der Werdinsel in die Limmat fliesst.;Dorfbachweg;Gewässer
32;3710;Aegertenstrasse;10110365;Flurname «Aegerten» als Bezeichnung für eine ungepflügte Flur, die sich - wie das steinige und oft überschwemmte Gebiet zwischen dem alten Dorf Wiedikon und der Sihl - wenig für den Ackerbau eignete.;Aegertenstrasse;Siedlung
33;3729;Mühleweg;10072709;Strasse, die ihren Namen von einer einstigen Mühle im oberen Hard erhielt. Bei dieser Mühle knüpfte sie an die Badenerstrasse an und führte ins mittlere Hard und weiter zur Hardturmstrasse.;Mühleweg;Siedlung
34;3866;Lerchenweg;10122258;Tiername, Vogelart.;Lerchenweg;Lebewesen
35;3963;Lindenweg;10073501;Baumname.;Lindenweg;Lebewesen
36;4160;Holzmatt;10104372;Name einer ehemaligen Wiese beim Hürstholz.;Holzmatt;Siedlung
37;4165;Schulhausstrasse;10021882;Strasse in der Enge, die am 1872 bis 1874 erbauten Schulhaus auf dem Gabler, Schulhausstrasse 21, vorbeiführt, einem imposantem Bau an dominierender Hanglage.;Schulhausstrasse;Siedlung
38;4409;Schlösslistrasse;10180264;Haus zum Schlössli, Schlösslistrasse 28, 1910 errichtet an Stelle des Schlösslis am Susenberg, das 1513 von Saffran-Zunftmeister und Apotheker Anton Klauser zu einem stattlichen Landhaus mit Garten ausgebaut wurde.;Schlösslistrasse;Siedlung
39;4433;Tannenweg;10019305;Baumname.;Tannenweg;Lebewesen
40;4527;Meisenweg;10021980;Tiername, Vogelart.;Meisenweg;Lebewesen
41;4615;Oberdorfstrasse;10019329;Alte Hauptstrasse aus dem Stadtzentrum durch das Oberdorf nach der rechten Seeseite. Diese Ansiedlung lag im Frühmittelalter ausserhalb der Stadt und gehörte zum Stadelhof. Um 1100 wurde die Siedlung zusammen mit dem Niederdorf (villa inferior) als Oberdorf (villa superior) Bestandteil der Stadt. Diese griff damals dem rechten Limmatufer entlang und gegen den Zürichberg hin aus und überdeckte dortige alte vorstädtische Siedlungen. Das Oberdorftor wird im Jahr 1266 erwähnt. Die Namensform Oberdorfstrasse scheint erst im 19. Jahrhundert gebräuchlich geworden zu sein, zuvor genügte die Bezeichnung Hauptstrasse.;Oberdorfstrasse;Siedlung
42;4883;Rainstrasse;10021026;Alter Name einer Häusergruppe Auf dem Rain, oberhalb des einstigen Dorfkerns von Wollishofen. Als Flurname bezeichnet Rain einen Abhang oder oft auch eine Grenze zwischen Äckern oder Fluren.;Rainstrasse;Natur
43;4984;Lindenhof;10021878;Der erhöhte Platz über der Limmat, noch lange schlicht nur der Hof genannt, wurde bereits im 16. Jahrhundert mit Linden bepflanzt. Hier fanden sich die ersten Siedlungsreste aus keltischer und römischer Zeit und es sind Spuren eines spätrömischen Kastells und einer mittelalterlichen Pfalz zu besichtigen.;Lindenhof;Lebewesen
44;5006;Sonneggstrasse;10104412;Benannt nach der Liegenschaft zum Sonneneck (1864-1940), Sonneggstrasse 41, in der Ortsgegend Weinberg in Oberstrass. Zunächst hiess die Strasse nach dem benachbarten grossen Landgut zur Tanne, das bereits der Tannenstrasse den Namen gegeben hatte, neue Tannenstrasse. Die Umbenennung erfolgte, um Verwechslungen auszuschliessen.;Sonneggstrasse;Andere
45;5031;Zeughausstrasse;10128590;Teil der alten Hohlstrasse oder Hohlgasse, der wegen der 1866 erbauten Zeughäuser auf dem Kasernenareal in Zeughausstrasse umbenannt wurde.;Zeughausstrasse;Siedlung
46;5066;Sportweg;10137499;Strasse beim 2008 abgebrochenen Stadion Hardturm des Grasshopper Club Zürich.;Sportweg;Siedlung
47;5099;Waldmeisterweg;10185982;Kräutername.;Waldmeisterweg;Lebewesen
48;5103;Moosstrasse;10252724;Früher verlief dort ein grosses «Moos» in einer Senke entlang der Albisstrasse.;Moosstrasse;Natur
49;5219;Burgstrasse;10012283;"An einen Flurnamen wie «zur Burg» erinnernd, der für Wipkingen bereits 1399 bezeugt ist; vielleicht ein Hinweis auf eine abgegangene Burg oder sonstige alte Gemäuer.";Burgstrasse;Andere
50;5287;Birkenweg;10186817;Baum- und Strauchname: häufig vorkommender Laubbaum.;Birkenweg;Lebewesen
51;5608;Schürliweg;10090553;Benannt nach einer kleinen Scheune, mundartlich «Schürli», die am Waldrand oberhalb des Hungerbergs stand.;Schürliweg;Siedlung
52;5680;Schulerweg;10020729;Weg von der Witikonerstrasse Richtung Möcklistrasse 7, wo sich von 1793 bis 1876 die erste Schule Witikons befand, heute Privathaus.;Schulerweg;Siedlung
53;5685;Fabrikstrasse;10252232;Strasse bei der ehemaligen Gasfabrik im Industriequartier von Aussersihl. Die Gasbeleuchtung in Zürich nahm 1856 ihren Anfang mit einer Produktionsanlage auf dem Platzspitz. 1866/67 wurde diese auf ein Grundstück an der Limmat verlegt, das durch die Limmatstrasse, die Gasometestrasse, den Sihlquai und die Fabrikstrasse begrenzt war. Bis 1898 wurde das Gas für die Stadt Zürich in dieser Fabrik produziert.;Fabrikstrasse;Siedlung
54;5768;Sonnhaldenstrasse;10021884;In Anlehnung an den oberhalb gelegenen Sonnenberg frei gewählter Name.;Sonnhaldenstrasse;Berg
55;5829;Austrasse;10019338;«Au» ist eine Bezeichnung für Wiesland an einem Gewässer. Im alten Wiedikon hiess das Gelände südlich des Dorfes an der Sihl «In der Au», um 1840 gab es dort drei Höfe und Häuser.;Austrasse;Natur
56;5918;Buchenweg;10186814;Baumname: beliebter Laubbaum, der auch für Hecken genutzt wird.;Buchenweg;Lebewesen
57;6107;Güterstrasse;10111877;Auf dem ehemaligen Güterbahnhof-Areal gelegene Verbindungsstrasse im neuen Polizei- und Justizzentrum Zürich PJZ.;Güterstrasse;Siedlung
58;6164;Bergstrasse;10097721;Um 1877 angelegte Strasse entlang des Adlisberghanges, die vom Klusplatz nach Fluntern führt. Zuvor gab es dort einen Verbindungsweg, der als «oberer Fussweg» bezeichnet wurde. Die dem «Berg» entlang führende Strasse wurde nach 1890 wichtig für die bauliche Entwicklung Hottingens, das seit 1893 ein Stadtteil Zürichs ist.;Bergstrasse;Berg
59;6385;Känzeliweg;10205823;Weg nach einer 1884 erstellten, heute aber abgegangenen Aussichtsterrasse, einem Aussichts-Känzeli.;Känzeliweg;Siedlung
60;6392;Wiesenstrasse;10077327;Name einer neuen, 1870 erstellten Verbindungsstrasse, die durch eine noch offene und unüberbaute Wiese führte.;Wiesenstrasse;Natur
61;6523;Güetliweg;10038223;Siedlung der Kleinheimwesenkolonie Oberwiesen, die 1929 durch die Schweizerischen Vereinigung für Innenkolonisation und industrielle Landwirtschaft errichtet wurde. Die Innenkolonisation wollte neue landwirtschaftliche Betriebe oder auf weitgehender Selbstversorgung basierende Kolonien schaffen. Diese Kleinheimwesen konnten als Güetli bezeichnet werden. Die Kleinheimwesenkolonie Oberwiesen in Oerlikon wurde schon 1931 wieder aufgelöst.;Güetliweg;Siedlung
62;6535;Weststrasse;10095424;"Strasse in Wiedikon, die bis zum Jahr der ersten Zürcher Eingemeindung 1892/93 Zürcherstrasse hiess. Der neue Name war wohl, nach dem Vorbild anderer Grossstädte, der Lage der Strasse im Westen der Stadt und am damaligen Rand des Siedlungsgebietes zu verdanken; eine Parallellstrasse mit noch unüberbauten Parzellen hiess entsprechend Westendstrasse. In Riesbach auf der anderen Stadtseite wurde 1892 eine Strasse in Südstrasse umbenannt.";Weststrasse;Andere
63;6576;Feldstrasse;10106556;Strasse durch das sogenannte Sihlfeld, das flache Schwemmland zwischen dem Sihlfluss und der Hard gegen die Limmat hin. Das Sihlfeld oder Feld diente den Bauern von Wiedikon und Aussersihl bis gegen Ende des 19. Jahrhunderts als Ackerland. Die Äcker im Sihlfeld werden bereits in einer Urkunde von 1230 erwähnt.;Feldstrasse;Natur
64;6762;Kasernenstrasse;10109534;Benannt nach der 1873 bis 1875 erbauten grossen Militärkaserne, deren Haupteingänge sich gegen die Kasernenstrasse hin öffnen. Zuvor hiess die Strasse in Aussersihl, die von der Sihlbrücke her der Sihl entlang führt, auch Kreuelstrasse (nach der dortigen alten Ortsgegend Kreuel), Bahnhofstrasse (nach dem 1846-1847 erbauten, nahen Bahnhof Zürich) und Sihlstrasse. Im Jahr 1927 wurde die neue Strasse längs der Sihlpost zur Fortsetzung der Kasernenstrasse.;Kasernenstrasse;Siedlung
65;6778;Bungertweg;10188626;Flurname «Bungert», Mundartform von Baumgarten.;Bungertweg;Siedlung
66;6796;Burgweg;10118584;Teil des Weges, der über die Weinegg ins «Burgholz» oder «Burghölzli» führt. Der bewaldete Hügel «Burg» oberhalb von Riesbach wird schon im 13. Jahrhundert erwähnt. Seit der Zeit um 1500 gehörte er zum grössten Teil der Gemeinde Riesbach, die daraus ihr Holz bezog. Der Name lässt eine Burgstelle vermuten. Von einer solchen, zum Beispiel von einer im 16. und 17. Jahrhundert dorthin verlegten «Biberlinsburg», ist aber weder urkundlich noch archäologisch etwas bekannt.;Burgweg;Siedlung
67;7312;Arosastrasse;10039431;Gemeinde und Kurort in Graubünden, beliebter Wintersportort der Zürcher.;Arosastrasse;Ortschaft
68;7315;Hinterbergstrasse;10206365;Strasse nach dem Hinterberg, einem der alten Ortsteile von Fluntern. Dieser bestand um 1840 bereits aus 32 Wohnhäusern. Zu den weiteren Ortsteilen der Gemeinde Fluntern gehörten auch ein Mittelberg und ein Vorderberg.;Hinterbergstrasse;Berg
69;7343;Spechtweg;10038824;Tiername, Vogelart.;Spechtweg;Lebewesen
70;7353;Sonnenbergstrasse;10094957;Flurname am Adlisberg, der dem zwischen 1893 und 1896 errichteten Hotel Sonnenberg, Aurorastrasse 101, und dem 1909 bis 1911 gebauten ehemaligen Waisenhaus Sonnenberg, Oberer Heuelsteig 15, den Namen gab.;Sonnenbergstrasse;Andere
71;7436;Paradiesstrasse;10067631;Flurname «Im Barendiss» (1520), «Berendyss» (1628), «Paradys» (1788). Die Bezeichnung verweist auf hochgelegene, fruchtbare, in bevorzugter Lage liegende Grundstücke in Zürich-Wollishofen oder ironisch auf schwer zu bearbeitendes Gelände.;Paradiesstrasse;Andere
72;7463;Bahnhofplatz;10173058;Platzanlage vor dem Hauptbahnhof Zürich, entstanden in den 1860er Jahren im Zusammenhang mit der Planung und dem Bau des Bahnhofquartiers, insbesondere mit der 1863-1864 angelegten unteren Bahnhofstrasse und dem 1865-1871 neu erbauten Bahnhofgebäude.;Bahnhofplatz;Siedlung
73;7538;Appenzellerstrasse;10091499;Seit dem 15. Jahrhundert in Höngg ansässige Familie.;Appenzellerstrasse;Person
74;7545;Freudenbergstrasse;10031661;An der Freudenbergstrasse standen zwei Liegenschaften mit dem Namen Freudenberg. Einerseits war es das Wohnhaus zum Freudenberg (1863-1923), Freudenbergstrasse 24, das sich heute bei den Liegenschaften Forsterstrasse 73/75 befinden würde, und andererseits das 1870 erbaute Wohnhaus an der Freudenbergstrasse 105, das 1896 zur Wirtschaft augebaut und 1962 abgetragen wurde.;Freudenbergstrasse;Andere
75;7558;Saumstrasse;10190668;Strasse, die am Saumacker, dem am Rand des angebauten Gebietes liegenden Ackers, vorbei geht.;Saumstrasse;Natur
76;7565;Kurvenstrasse;10067888;Kurze bogen- oder kurvenförmige Strasse in Zürich-Unterstrass. Sie hiess bis 1892 Rankstrasse. Weil es Strassen dieses Namens auch in Hirslanden und Riesbach gab, wurde sie auf die 1893 erfolgte Eingemeindung in die Stadt Zürich hin in Kurvenstrasse umbenannt.;Kurvenstrasse;Andere
77;7571;Blumenweg;10110840;Frei gewählter Name.;Blumenweg;Andere
78;7751;Grünaustrasse;10067868;Benannt nach der dort errichteten Überbauung der Baugenossenschaft Grünau.;Grünaustrasse;Andere
79;7788;Hofstrasse;10205031;Strasse in Hottingen, die in der Fallachse des Berges an der Ortsgegend Kühgass und weiter am Spiegelhof vorbei zur Tobelhofstrasse und Letztere schliesslich zum Tobelhof führt. Um 1860 hiess die Strasse deswegen noch Kühgasse. Dies wurde später wohl nicht mehr als passend empfunden, weshalb die Umbenennung in Hofstrasse erfolgte, einer verkürzten Form von Tobelhofstrasse.;Hofstrasse;Siedlung
80;7869;Viaduktstrasse;10091440;Die von der Nordostbahn 1856 eröffnete Bahnstrecke vom Hauptbahnhof nach Oerlikon führte über einen Bahndamm nach Wipkingen, wo sich die Tunneleinfahrt befindet. Um eine geringere Steigung zu erhalten, wurde 1891-1894 ein weiter ausholendes Viadukt, das Wipkinger Viadukt, errichtet. Die alte Trassee des Damms bildet die heutige Röntgenstrasse.;Viaduktstrasse;Siedlung
81;7878;Rütihofstrasse;10031912;Weiler, der auf einem gerodeten, urbar gemachten Stück Land angelegt wurde.;Rütihofstrasse;Siedlung
82;7899;Waisenhausstrasse;10031287;Im Zusammenhang mit der Neuanlage des Bahnhofquartiers in den 1860er Jahren erbaute Strasse. Sie ist benannt nach dem damals nahen, in der Verlängerung der Strasse an der Limmat gelegenen Waisenhaus (heute Bahnhofquai 3). Dieses wurde 1771 eröffnet und diente bis 1911 seinem ursprünglichen Zweck. Seit 1914 ist das Waisenhausgebäude das Amtshaus I der Zürcher Stadtverwaltung und das Hauptgebäude der Stadtpolizei.;Waisenhausstrasse;Siedlung
83;7913;Im Grund;10104789;Wiese in einer Mulde.;Im Grund;Natur
84;7950;Gartenstrasse;10030970;Ab 1877 angelegte Strasse in der Enge, im Bereich des dortigen Parkrings und Villenquartiers. Der Name des Privatwegs, der erst 1895 zu einer öffentlich Strasse wurde, mag eine Erinnerung an die grossen und gepflegten Gärten der einstigen Landsitze und Villen in der Zürcher Vorortsgemeinde sein.;Gartenstrasse;Siedlung
85;8172;Werdstrasse;10091567;Strasse, die in die Gegend des Sihlhölzlis führte, wo sich die Sihl bis 1902 in die zwei Arme der wilden und der zahmen Sihl teilte und damit ein Werd bildete. Werd bezeichnete im alten Sprachgebrauch eine Insel oder Halbinsel, die durch zwei Flussarme gebildet wurde.;Werdstrasse;Gewässer
86;8187;Seeblickstrasse;10091564;Strasse mit Ausblick auf den Zürichsee.;Seeblickstrasse;Gewässer
87;8221;Neuwiesenstrasse;10128815;Flurname.;Neuwiesenstrasse;Natur
88;8238;Friedaustrasse;10032561;Frei gewählter Name, wohl in Anspielung auf den benachbarten Friedhof Sihlfeld.;Friedaustrasse;Andere
89;8249;Rütiweg;10091163;Flurname «Rüti», d. h. gerodetes Waldstück.;Rütiweg;Natur
90;8357;Marktgasse;10184440;Zentrales Teilstück des Marktes im alten Zürich und Kern der Wohn- und Wirtschaftssiedlung rechts der Limmat, damit ursprünglich auch einer der Hauptverbindungswege in der Stadt. An die Marktgasse als dem allgemeinen Marktplatz schlossen sich Spezialmärkte wie der Salzmarkt gegen Norden oder der Fischmarkt gegen Süden an. Das Marktareal insgesamt wurde im Mittelalter Forum oder Markt genannt, die engere Bezeichnung und Abgrenzung des Teiles Marktgasse erfolgte zu Beginn des 16. Jahrhunderts.;Marktgasse;Siedlung
91;8394;Maienweg;10073053;Vebindungsweg zur Maienstrasse. Die Benennung bezieht sich vermutlich auf «Maien», d. h. Blumenstrauss, da es in der unmittelbaren Umgebung noch weitere auf Pflanzen bezogene Strassennamen gibt.;Maienweg;Andere
92;8410;Hofwiesenstrasse;10019570;«Hof» war die umgangssprachliche Bezeichnung für das 1256 erstmals erwähnte Bauerngut zum Fallenden Brunnenhof, weshalb dessen Wiesen als Hofwiesen bezeichnet wurden. Hier wurde 1932 das Radiostudio Zürich errichtet. Nach 1945 musste der Bauernhof dem Ausbau des Radiostudios und dem Bau von Wohnhäusern weichen.;Hofwiesenstrasse;Siedlung
93;8426;Querstrasse;10085731;Querverbindung vom neuen Dorfzentrum Oerlikon zum Franklinplatz.;Querstrasse;Andere
94;8461;Heuweg;10018651;Heuweg steht wohl im Zusammenhang mit dem Flurnamen «Auf der Heu» bzw. «Untere Heu» im Gebiet des Schwandenholzes und des heutigen Friedhofs («Hau»: Holzschlag im Wald, Rodung).;Heuweg;Andere
95;8484;Irchelstrasse;10178594;Höhenzug im Kanton Zürich zwischen Töss und Thur am Rhein.;Irchelstrasse;Berg
96;8500;Quellenstrasse;10190887;"Name einer durch Weinhändler Jacques Geiger erstellten Privatstrasse in Aussersihl; dessen Vorschlag Malagastrasse gefiel der Baukommission und dem Gemeinderat Aussersihl nicht. Worauf sich die Quelle im Strassennamen bezieht, ist unbekannt.";Quellenstrasse;Andere
97;8555;Oberwiesenstrasse;10121180;Flurname.;Oberwiesenstrasse;Natur
98;8564;Weinbergstrasse;10086747;Der Name leitet sich ab vom Landgut zum Weinberg, das 1905 zu Gunsten der Überbauung Weinbergstrasse 29/31 resp. Hochfarbstrasse 2/4 abgetragen wurde. Er beschreibt aber auch, dass am ganzen Hang oberhalb der Stampfenbachstrasse bis weit ins 19. Jahrhundert Weinbau betrieben wurde.;Weinbergstrasse;Lebewesen
99;8617;Goldackerweg;10068429;Flurname «Goldächer» (1368) mit Hinweis auf ertragreichen, fruchtbaren oder, ironisch gemeint, unergiebigen Acker.;Goldackerweg;Natur
100;9350;Nelkenstrasse;10178595;Blumenname.;Nelkenstrasse;Lebewesen
101;9393;Feldeggstrasse;10017861;"Um 1800 bestand die Häusergruppe Feldegg an der heutigen Ecke Mainaustrasse aus zwei Wohnhäusern, einem Waschhaus und einer Scheune. Der Flurname «Egg» bezeichnet eine abgewinkelte Form oder eine Bodenerhebung; hier in Riesbach meinte der Name «Feldegg» vielleicht eine einst winkelförmige Wiese oder das Feld am Abhang Richtung Seefeld.";Feldeggstrasse;Natur
102;9416;Mühlegasse;10018143;"Zugangsweg vom Niederdorf zum einstigen oberen Mühlesteg über die Limmat, auf dem sich zeitweise sechs Mühlen befanden. Unter dem Namen Mühlegasse ist die Gasse im Jahr 1445 erstmals erwähnt. Der Mühlesteg wurde 1913 durch die heutige Rudolf-Brun-Brücke ersetzt; gleichzeitig wurde die Mühlegasse, die 1877 bis zum Seilergraben verlängert worden war, verbreitert und zu einer wichtigen Verkehrsachse ausgebaut.";Mühlegasse;Siedlung
103;9497;Schlössliweg;10131948;Weg beim Haus zum Schlössli, Schlösslistrasse 28. Das Haus zum Schlössli wurde 1910 an Stelle des Schlösslis am Susenberg errichtet, das 1513 von Saffran-Zunftmeister und Apotheker Anton Klauser zu einem stattlichen Landhaus mit Garten ausgebaut wurde.;Schlössliweg;Siedlung
104;9534;Neugutstrasse;10165392;Querstrasse im sogenannten Neugutquartier in der Enge, das ab etwa 1880 entstand und seinen Namen nach der früheren, 1928 abgetragenen Liegenschaft Neugut, Bederstrasse 119/121, erhalten hat. Das einstige Neugut bestand aus Wohnhaus, Scheune und Waschhaus und gehörte bis 1837 dem kantonalen Spitalamt. Ein Neugut konnte Teil einer Allmend sein, dessen Nutzung einer einzelnen Haushaltung überlassen blieb, oder einfach ein neu angelegtes Bauerngut.;Neugutstrasse;Siedlung
105;9558;Tödistrasse;10018163;Benannt nach dem 3614 Meter hohen Tödi in den Glarner Alpen, dem höchsten Gebirgsmassiv der Nordostschweiz. In der Enge wurden um 1880/90 mehrere neue Strassen nach Schweizer Bergen benannt, die zum Teil vom damals angelegten Quai am Zürichsee, Alpenquai, aus sichtbar waren.;Tödistrasse;Berg
106;10551;Haldenstrasse;10031984;Strasse über die «Halden», wie die einst mit Reben (den «Haldenreben») bepflanzte und noch um 1880 kaum überbaute Anhöhe in Wiedikon seit Alters her genannt wird. Der häufig vorkommende Flur- und Ortsname «Halde» bezeichnet den Abhang eines Hügels oder Berges.;Haldenstrasse;Natur
107;10750;Mittelstrasse;10173056;Im Jahr 1881 aus Schützenstrasse umbenannte Strasse, um Doppelbenennungen in der Stadt Zürich und ihren Ausgemeinden zu vermeiden. Die Mittelstrasse ist eine Quartierstrasse, die zwischen und paralell zu den beiden wichtigen Verkehrsachsen der Dufour- und der Bellerivestrasse liegt.;Mittelstrasse;Andere
108;10776;Eichhalde;10091229;Flurname «Eichhalde», mit Eichen bewachsener Hang (Halde).;Eichhalde;Lebewesen
109;10779;Rebbergstrasse;10107066;Strasse durch die ehemaligen Rebberge oberhalb der Limmattalstrasse.;Rebbergstrasse;Lebewesen
